source,target,weight
223,2202,1.0
223,3152,1.0
223,5519,1.0
223,6758,1.0
223,8418,1.0
223,10584,1.0
224,758,1.0
224,3590,1.0
224,3754,1.0
224,7158,1.0
224,8173,1.0
224,8747,1.0
224,11114,1.0
225,108,1.0
225,1023,1.0
225,3938,1.0
225,3953,1.0
226,557,1.0
226,3019,1.0
226,3794,1.0
226,6620,1.0
226,7166,1.0
226,9078,1.0
226,9344,1.0
226,9906,1.0
226,11752,1.0
227,702,1.0
227,8281,1.0
228,6634,1.0
229,866,1.0
229,3636,1.0
229,4247,1.0
229,6387,1.0
229,9515,1.0
230,6200,1.0
231,318,1.0
231,3659,1.0
231,5196,1.0
231,7467,1.0
231,7870,1.0
232,671,1.0
232,6302,1.0
232,6574,1.0
233,289,1.0
233,6872,1.0
234,32,1.0
234,2143,1.0
234,4883,1.0
234,6921,1.0
234,10544,1.0
235,5216,1.0
236,245,1.0
236,336,1.0
236,463,1.0
236,2665,1.0
236,3101,1.0
236,5241,1.0
236,6287,1.0
236,6472,1.0
236,9291,1.0
237,705,1.0
237,762,1.0
237,997,1.0
237,9158,1.0
237,9261,1.0
237,11754,1.0
238,476,1.0
238,487,1.0
238,733,1.0
238,737,1.0
238,3638,1.0
238,4723,1.0
238,6637,1.0
239,590,1.0
239,6610,1.0
239,11768,1.0
239,12002,1.0
240,690,1.0
240,849,1.0
240,1028,1.0
240,2090,1.0
240,4204,1.0
240,5237,1.0
241,733,1.0
241,3469,1.0
241,6709,1.0
242,338,1.0
242,1463,1.0
242,10684,1.0
242,11625,1.0
243,1748,1.0
243,1951,1.0
243,3105,1.0
243,5412,1.0
243,11002,1.0
243,11172,1.0
243,11322,1.0
243,11466,1.0
243,11467,1.0
243,11501,1.0
243,11556,1.0
244,541,1.0
244,852,1.0
244,6784,1.0
245,236,1.0
245,1783,1.0
245,5392,1.0
245,5656,1.0
245,8725,1.0
245,9291,1.0
246,1888,1.0
246,2101,1.0
246,3247,1.0
246,7769,1.0
246,8897,1.0
247,339,1.0
247,347,1.0
247,8603,1.0
248,643,1.0
248,734,1.0
248,4541,1.0
248,6684,1.0
248,9658,1.0
248,10020,1.0
249,2908,1.0
249,3524,1.0
249,4291,1.0
249,6604,1.0
249,6849,1.0
249,8638,1.0
249,8666,1.0
250,1411,1.0
251,3572,1.0
251,7098,1.0
252,1653,1.0
252,9362,1.0
252,9478,1.0
252,11579,1.0
253,8021,1.0
254,8675,1.0
254,8904,1.0
254,9223,1.0
255,3321,1.0
256,1972,1.0
256,2218,1.0
256,3321,1.0
256,3342,1.0
256,3564,1.0
256,3957,1.0
256,11858,1.0
257,290,1.0
257,1519,1.0
257,1778,1.0
257,1823,1.0
257,1889,1.0
257,3574,1.0
257,3691,1.0
257,6582,1.0
257,12039,1.0
258,2054,1.0
258,2550,1.0
258,5251,1.0
258,5718,1.0
258,7465,1.0
258,8058,1.0
258,8215,1.0
258,10110,1.0
258,11864,1.0
259,403,1.0
259,404,1.0
259,461,1.0
259,465,1.0
259,814,1.0
259,3029,1.0
259,3729,1.0
259,5727,1.0
259,6265,1.0
259,10333,1.0
259,11737,1.0
260,1622,1.0
260,3932,1.0
260,5480,1.0
260,8550,1.0
260,8609,1.0
260,8992,1.0
260,9224,1.0
260,9382,1.0
261,413,1.0
261,866,1.0
261,3951,1.0
261,6447,1.0
261,6514,1.0
261,9515,1.0
262,5210,1.0
262,6257,1.0
262,7765,1.0
263,51,1.0
263,342,1.0
263,3104,1.0
263,6673,1.0
263,8525,1.0
263,9269,1.0
264,340,1.0
264,542,1.0
264,3115,1.0
264,3195,1.0
264,3417,1.0
264,4090,1.0
264,6858,1.0
265,292,1.0
265,987,1.0
265,1039,1.0
265,1598,1.0
265,3261,1.0
265,3376,1.0
265,3409,1.0
265,3417,1.0
265,6593,1.0
265,6803,1.0
265,7651,1.0
265,9513,1.0
266,1557,1.0
266,5304,1.0
266,5798,1.0
266,6052,1.0
266,7739,1.0
266,7942,1.0
267,2001,1.0
267,7023,1.0
267,10515,1.0
267,11151,1.0
268,2146,1.0
268,4870,1.0
268,9677,1.0
269,410,1.0
269,1958,1.0
269,2009,1.0
269,2546,1.0
269,5070,1.0
269,6603,1.0
269,7133,1.0
269,8597,1.0
269,9320,1.0
269,9876,1.0
269,10568,1.0
269,11151,1.0
270,1902,1.0
270,2186,1.0
270,3880,1.0
270,5332,1.0
270,7918,1.0
270,8376,1.0
271,387,1.0
271,1165,1.0
271,3819,1.0
271,4549,1.0
271,6411,1.0
271,6499,1.0
271,6576,1.0
271,6590,1.0
271,9845,1.0
272,870,1.0
272,8690,1.0
272,8943,1.0
273,1277,1.0
274,567,1.0
274,675,1.0
274,690,1.0
274,1776,1.0
274,5237,1.0
274,8786,1.0
275,379,1.0
275,719,1.0
275,786,1.0
275,1101,1.0
275,1315,1.0
275,2344,1.0
275,6261,1.0
275,7952,1.0
275,8578,1.0
275,9383,1.0
276,1430,1.0
276,4193,1.0
276,7315,1.0
276,7761,1.0
276,7847,1.0
276,11425,1.0
276,11990,1.0
277,547,1.0
277,1075,1.0
277,1452,1.0
277,3725,1.0
277,4086,1.0
277,5258,1.0
277,6509,1.0
277,6596,1.0
277,6640,1.0
278,495,1.0
279,1715,1.0
280,840,1.0
280,3055,1.0
280,3694,1.0
280,8301,1.0
281,134,1.0
281,2652,1.0
281,4262,1.0
281,5333,1.0
281,5805,1.0
281,11954,1.0
282,1229,1.0
282,1766,1.0
282,3506,1.0
282,11044,1.0
283,847,1.0
283,1945,1.0
283,2112,1.0
283,4092,1.0
283,7350,1.0
283,8325,1.0
283,10169,1.0
283,11193,1.0
284,1025,1.0
284,9977,1.0
284,10040,1.0
285,394,1.0
285,928,1.0
285,2484,1.0
285,3808,1.0
285,6786,1.0
285,7725,1.0
285,10510,1.0
285,11097,1.0
285,11420,1.0
285,11427,1.0
286,3598,1.0
286,9150,1.0
286,9394,1.0
286,9711,1.0
286,11106,1.0
286,11855,1.0
287,1778,1.0
287,9471,1.0
287,10174,1.0
288,1334,1.0
288,3313,1.0
288,3405,1.0
288,3857,1.0
288,6539,1.0
288,6554,1.0
288,6701,1.0
288,6858,1.0
288,9042,1.0
288,10011,1.0
289,233,1.0
290,257,1.0
290,1519,1.0
290,1778,1.0
290,3180,1.0
290,4449,1.0
290,4471,1.0
290,4570,1.0
290,6824,1.0
290,7160,1.0
290,7575,1.0
290,7610,1.0
290,11088,1.0
291,4661,1.0
291,6302,1.0
291,10087,1.0
292,265,1.0
292,935,1.0
292,3100,1.0
292,3376,1.0
292,3417,1.0
292,6593,1.0
292,7710,1.0
292,9547,1.0
292,9600,1.0
293,1026,1.0
294,3378,1.0
294,3524,1.0
294,5508,1.0
294,5741,1.0
294,8630,1.0
294,8638,1.0
294,8951,1.0
294,11062,1.0
295,899,1.0
295,3341,1.0
295,4238,1.0
295,5616,1.0
295,6822,1.0
295,10461,1.0
296,360,1.0
296,2992,1.0
296,3360,1.0
296,4054,1.0
296,6932,1.0
296,9228,1.0
297,11544,1.0
297,11593,1.0
298,1432,1.0
298,1813,1.0
298,3359,1.0
298,4568,1.0
298,8926,1.0
298,9271,1.0
298,10974,1.0
299,1253,1.0
299,1287,1.0
299,2147,1.0
299,3266,1.0
299,4801,1.0
299,11203,1.0
299,11264,1.0
300,5842,1.0
300,8406,1.0
300,8493,1.0
300,9143,1.0
300,9821,1.0
300,11347,1.0
301,713,1.0
301,8467,1.0
302,714,1.0
302,791,1.0
302,2368,1.0
302,8606,1.0
302,11962,1.0
303,10011,1.0
304,716,1.0
304,757,1.0
304,998,1.0
304,9903,1.0
304,10020,1.0
305,75,1.0
305,2519,1.0
305,3430,1.0
305,7468,1.0
305,7956,1.0
305,8354,1.0
305,9058,1.0
306,311,1.0
306,572,1.0
306,935,1.0
306,1012,1.0
306,6677,1.0
306,10461,1.0
306,11099,1.0
307,1366,1.0
307,5757,1.0
307,10941,1.0
308,3247,1.0
309,492,1.0
309,3407,1.0
309,3520,1.0
309,9912,1.0
310,334,1.0
310,372,1.0
310,903,1.0
310,6766,1.0
310,9885,1.0
311,306,1.0
311,472,1.0
311,579,1.0
311,1012,1.0
312,4491,1.0
312,4831,1.0
312,5584,1.0
313,1871,1.0
313,3166,1.0
313,6629,1.0
313,8592,1.0
313,9489,1.0
314,193,1.0
314,6202,1.0
314,9590,1.0
315,3038,1.0
315,6561,1.0
316,1221,1.0
